#OTU ID	19GMI00001	19GMI00002	19GMI00003	19GMI00004	19GMI00005	19GMI00006	19GMI00007	19GMI00008	19GMI00009	19GMI00010	19GMI00011	19GMI00012	19GMI00013	19GMI00014	19GMI00015	19GMI00016	19GMI00017	19GMI00018	19GMI00019	19GMI00020	19GMI00021	20GMI000011	20GMI000012	20GMI000013	20GMI000021	20GMI000022	20GMI000023	20GMI000031	20GMI000032	20GMI000033	20GMI0004	20GMI0005	20GMI0006	20GMI0007	20GMI0008	20GMI0009	20GMI0010	20GMI0011	20GMI0012	20GMI0013	20GMI0014	20GMI0015	20GMI0016	20GMI0017	20GMI0018	20GMI0019	20GMI0020	20GMI0021	20GMI0022	20GMI0023	20GMI0024	20GMI0025	20GMI0026	20GMI0027	20GMI0028	20GMI0029	20GMI0030	20GMI00311	20GMI00312	20GMI00313	20GMI00321	20GMI00331	20GMI00332	20GMI00333	20GMI00341	20GMI00342	20GMI00343	20GMI00351	20GMI00352	20GMI00353	20GMI00361	20GMI00362	20GMI00363	20GMI00371	20GMI00372	20GMI00373	20GMI00381	20GMI00382	20GMI00383	20GMI00391	20GMI00392	20GMI00393	20GMI00401	20GMI00402	20GMI00403	20GMI00411	20GMI00412	20GMI00413	20GMI00421	20GMI00422	20GMI00423	20GMI00431	20GMI00432	20GMI00433
Otu996	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu836	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu1571	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu454	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2619	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu4155	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu5	286	1.282e+04	4.008e+04	2.558e+04	940	0	7452	0	0	213	203	921	582	754	7463	0	0	0	1059	967	6665	1027	1229	1147	0	0	0	1037	0	0	1253	4377	3599	1607	288	720	290	973	798	101	1741	452	990	894	309	2422	556	4234	0	2645	381	325	1090	2935	1538	2652	441	0	0	0	0	0	0	0	0	0	0	1608	1405	1377	1019	1113	1101	235	315	131	0	0	0	1120	816	819	39	18	56	208	235	159	0	0	0	0	0	0
Otu198	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	20	0	303	266	316	0	0	0	0	0	0	754	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	490	0	0	81	107	100	0	0	0	0	0	0	0	795	665	743	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu467	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu384	69	34	20	130	16	81	33	70	123	36	25	26	42	27	22	96	99	29	38	38	22	52	45	51	38	43	25	66	51	40	22	12	94	29	16	71	33	29	20	51	31	5	36	15	32	33	12	18	53	115	16	6	86	8	67	55	9	16	10	41	0	7	3	5	16	10	9	55	103	62	8	18	9	1	2	3	6	21	13	22	20	9	1	2	1	52	6	16	92	47	86	35	23	65
Otu938	110	24	27	134	21	40	34	28	23	31	21	23	43	32	25	93	33	33	34	26	16	44	39	36	26	27	27	77	50	62	17	15	116	22	6	17	12	12	24	27	9	7	26	8	22	13	17	19	36	101	19	4	1	4	73	1	12	9	7	8	0	11	39	6	15	9	14	15	21	25	8	24	64	2	53	3	5	12	9	20	13	7	33	5	44	9	4	10	87	51	97	38	17	58
Otu713	209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	35	0	0	0	29	7	3	11	3	7	10	9	35	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2719	69	19	18	106	12	20	23	26	22	16	9	15	20	23	20	59	17	23	19	31	8	32	33	34	24	14	16	49	37	42	23	9	98	14	7	11	16	10	18	14	6	1	22	9	27	10	13	11	33	76	13	3	0	10	72	0	9	11	5	7	0	7	3	7	6	6	18	18	14	17	6	5	9	0	0	1	7	6	9	9	8	8	0	0	0	12	7	8	58	34	75	17	18	45
Otu1494	67	18	19	95	7	15	31	20	17	19	13	8	25	27	14	42	23	23	27	33	4	31	20	28	13	16	12	25	21	34	18	12	71	16	3	6	6	5	15	18	10	4	16	8	19	8	3	9	37	63	10	0	2	4	48	0	9	10	14	8	0	3	3	6	10	11	7	8	11	13	4	1	3	0	2	1	2	8	7	9	9	4	1	1	1	2	4	6	73	32	59	13	15	29
Otu1293	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu2767	41	10	15	56	6	16	22	17	21	10	7	11	15	12	12	40	8	11	14	17	7	24	13	21	13	12	12	30	22	29	8	9	41	7	4	6	9	3	9	13	6	1	12	4	10	2	1	10	20	62	7	1	0	4	43	0	4	5	7	5	0	5	7	2	10	4	6	12	11	11	1	6	2	1	1	1	1	6	8	9	12	1	2	0	1	6	1	3	33	16	49	14	9	25
Otu3007	22	2	0	24	1	3	7	5	6	1	4	4	6	8	6	17	3	8	3	8	0	11	11	6	0	3	2	11	7	6	3	2	15	4	1	3	5	0	3	2	0	0	2	0	6	4	3	5	11	26	3	1	1	3	8	0	1	1	2	0	0	1	1	2	2	2	3	8	4	3	1	1	0	1	3	1	0	3	3	1	1	3	0	0	0	0	0	2	8	8	15	8	4	10
Otu863	65	25	74	106	11	24	36	46	21	17	31	21	32	22	19	77	24	23	22	20	11	31	29	32	18	15	22	34	38	31	20	8	75	18	6	16	18	13	30	9	6	4	24	1	35	5	7	10	36	59	14	4	3	8	60	1	4	8	7	8	0	6	4	4	16	15	11	12	20	20	4	4	6	0	1	3	2	9	6	12	14	7	0	0	0	12	7	8	64	41	71	24	15	44
Otu2088	1	1	1	2	0	1	1	2	0	0	0	0	1	3	0	2	0	1	0	0	1	0	1	0	1	1	0	0	0	2	0	0	3	1	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	6	7	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0
Otu2258	44	15	16	71	13	19	13	13	12	14	15	15	21	30	16	53	16	15	16	23	5	25	23	22	18	11	9	27	27	25	13	8	59	5	1	7	7	2	18	9	6	0	14	3	24	13	8	5	23	43	13	3	0	3	32	0	6	12	10	5	0	3	7	4	9	5	5	5	11	9	1	5	3	2	0	2	3	6	6	7	9	4	0	0	0	7	6	6	36	29	54	14	15	27
Otu4724	27	7	5	27	5	11	8	9	8	4	11	4	9	10	8	22	8	11	6	14	1	7	9	16	6	9	8	9	16	10	7	0	30	6	4	7	3	0	8	4	2	0	10	2	5	1	2	2	7	24	4	1	0	4	19	0	4	2	2	1	0	3	2	1	7	1	3	4	6	8	1	3	0	0	0	1	0	2	4	2	8	2	0	0	0	2	0	6	22	18	33	9	5	12
Otu2860	41	8	7	54	8	9	20	11	6	7	12	7	14	11	10	38	15	6	13	10	3	15	13	16	8	10	3	16	20	16	6	6	44	5	0	5	4	5	5	5	9	0	8	5	12	8	3	7	15	27	8	1	0	5	25	0	3	8	2	6	0	3	2	4	6	1	5	4	8	6	0	1	4	111	219	140	19	10	14	9	6	1	1	0	2	5	0	4	27	10	18	14	8	14
Otu335	73	16	19	120	15	23	22	21	18	11	15	15	29	25	14	61	14	24	24	26	10	31	22	30	15	21	19	35	43	27	17	7	846	17	2	7	7	6	15	13	15	1	15	7	27	8	8	16	31	58	10	7	0	8	59	0	5	4	6	7	0	7	5	8	9	11	8	8	13	16	3	9	4	1	3	0	3	5	14	13	16	2	0	1	0	6	5	10	69	38	69	23	10	38
Otu1800	58	12	7	78	13	26	15	30	14	13	5	15	14	18	13	38	13	8	14	35	6	24	24	27	19	14	18	28	27	22	15	8	47	13	3	8	5	3	17	15	8	5	14	1	19	3	4	5	25	42	7	0	1	3	52	0	2	12	5	5	0	5	4	3	7	4	4	6	10	14	3	5	4	0	0	0	8	24	10	13	10	2	0	0	0	12	4	11	39	26	39	16	14	34
Otu1680	51	11	18	81	13	21	25	22	18	23	10	13	25	30	20	72	19	20	17	24	9	25	42	30	18	22	18	31	47	21	15	8	83	9	6	6	10	12	15	20	7	4	15	7	20	9	5	8	19	68	16	3	1	10	48	0	3	6	4	6	0	11	8	3	11	9	9	12	12	10	5	6	14	2	2	1	7	7	6	8	8	4	1	0	1	8	3	6	44	36	52	18	13	44
Otu2721	63	16	16	80	10	20	18	16	13	9	8	14	17	18	14	31	17	17	11	21	6	24	23	33	14	16	12	26	36	33	10	7	66	10	0	8	6	4	14	14	7	2	13	1	18	10	9	13	26	58	13	3	1	4	37	0	5	6	6	8	0	3	8	3	9	11	7	12	9	7	7	3	3	1	1	1	1	1	5	10	13	4	0	1	0	8	7	20	44	31	47	16	18	42
Otu2318	25	1	4	28	4	8	7	2	8	5	5	3	6	8	5	14	3	6	6	5	5	4	5	4	3	4	1	13	8	7	43	1	17	3	1	3	4	1	6	4	2	0	4	2	5	2	2	4	4	19	2	0	0	3	17	0	0	4	0	1	0	1	2	2	3	3	0	0	5	2	1	5	1	0	0	1	0	4	0	2	0	1	0	1	0	2	1	4	14	14	10	8	8	11
Otu1906	7	1	0	6	0	1	0	0	0	4	1	1	0	7	0	6	1	0	1	0	0	1	0	1	1	1	0	1	2	5	2	0	5	0	0	0	2	0	5	1	0	1	0	1	0	0	0	2	2	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	9	0	1	1	1	3	0	0	2
